         7x9E                     (7x9E.dat)                                                                                                                                        
         v2024-0915                                                                                                                                                                 
         Simulation Date: 09/27/2024                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1484      0.1175       0.000       0.010       0.011       0.118       0.001       0.051      43.476        0.03       6541.    0.3884  
        0.31      0.0462      0.0575      0.1480      0.1189       0.000       0.010       0.011       0.120       0.001       0.050      42.811        0.03       6550.    0.3818  
        0.61      0.0924      0.1130      0.1475      0.1206       0.000       0.010       0.011       0.122       0.001       0.050      42.087        0.03       6561.    0.3748  
        0.92      0.1386      0.1664      0.1470      0.1225       0.000       0.010       0.011       0.124       0.001       0.050      41.304        0.03       6573.    0.3672  
        1.23      0.1848      0.2174      0.1465      0.1246       0.000       0.011       0.011       0.126       0.001       0.050      40.467        0.03       6587.    0.3591  
        1.53      0.2311      0.2658      0.1459      0.1268       0.000       0.011       0.011       0.128       0.001       0.050      39.581        0.03       6602.    0.3505  
        1.84      0.2773      0.3114      0.1452      0.1293       0.000       0.011       0.011       0.130       0.001       0.049      38.652        0.03       6619.    0.3415  
        2.14      0.3235      0.3543      0.1444      0.1319       0.000       0.011       0.011       0.133       0.001       0.049      37.690        0.03       6639.    0.3321  
        2.45      0.3697      0.3943      0.1435      0.1345       0.000       0.011       0.011       0.136       0.001       0.049      36.701        0.03       6660.    0.3224  
