         8x3.7SFR                 (8x37SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 08/13/2024                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0563      0.0247       0.000       0.004       0.007       0.048       0.000       0.033      68.756        0.03       7604.    0.4324  
        0.12      0.0152      0.0342      0.0555      0.0247       0.000       0.004       0.007       0.049       0.000       0.032      67.753        0.03       7606.    0.4231  
        0.23      0.0304      0.0674      0.0547      0.0247       0.000       0.004       0.007       0.049       0.000       0.032      66.715        0.03       7609.    0.4135  
        0.35      0.0456      0.0995      0.0538      0.0247       0.000       0.004       0.007       0.049       0.000       0.031      65.645        0.03       7612.    0.4035  
        0.46      0.0608      0.1304      0.0528      0.0246       0.000       0.004       0.007       0.048       0.000       0.031      64.544        0.03       7615.    0.3931  
        0.58      0.0760      0.1601      0.0518      0.0246       0.000       0.004       0.007       0.048       0.000       0.030      63.411        0.03       7618.    0.3824  
        0.69      0.0912      0.1886      0.0507      0.0245       0.000       0.004       0.007       0.048       0.000       0.029      62.247        0.03       7621.    0.3713  
        0.81      0.1064      0.2158      0.0495      0.0244       0.000       0.004       0.006       0.048       0.000       0.029      61.051        0.03       7625.    0.3599  
        0.92      0.1217      0.2417      0.0482      0.0243       0.000       0.004       0.006       0.048       0.000       0.028      59.822        0.03       7629.    0.3481  
        1.04      0.1369      0.2662      0.0468      0.0241       0.000       0.004       0.006       0.047       0.000       0.027      58.559        0.03       7633.    0.3359  
        1.15      0.1521      0.2892      0.0454      0.0239       0.000       0.004       0.006       0.047       0.000       0.026      57.259        0.03       7637.    0.3233  
        1.27      0.1673      0.3107      0.0438      0.0236       0.000       0.004       0.006       0.046       0.000       0.025      55.920        0.03       7642.    0.3103  
        1.38      0.1825      0.3305      0.0422      0.0233       0.000       0.004       0.006       0.046       0.000       0.025      54.538        0.03       7646.    0.2969  
        1.50      0.1977      0.3487      0.0405      0.0229       0.000       0.004       0.005       0.045       0.000       0.023      53.106        0.03       7651.    0.2831  
        1.61      0.2129      0.3650      0.0386      0.0225       0.000       0.004       0.005       0.044       0.000       0.022      51.620        0.03       7657.    0.2689  
        1.73      0.2281      0.3793      0.0367      0.0221       0.000       0.004       0.005       0.043       0.000       0.021      50.070        0.03       7662.    0.2542  
        1.84      0.2433      0.3915      0.0347      0.0216       0.000       0.004       0.005       0.042       0.000       0.020      48.446        0.03       7668.    0.2391  
        1.96      0.2585      0.4013      0.0326      0.0210       0.000       0.003       0.004       0.041       0.000       0.019      46.737        0.03       7673.    0.2235  
        2.07      0.2737      0.4084      0.0304      0.0203       0.000       0.003       0.004       0.040       0.000       0.018      44.926        0.03       7680.    0.2074  
        2.19      0.2889      0.4126      0.0281      0.0197       0.000       0.003       0.004       0.039       0.000       0.016      42.997        0.03       7686.    0.1909  
        2.30      0.3041      0.4134      0.0257      0.0189       0.000       0.003       0.003       0.037       0.000       0.015      40.931        0.03       7693.    0.1739  
        2.42      0.3193      0.4105      0.0233      0.0181       0.000       0.003       0.003       0.036       0.000       0.014      38.703        0.03       7699.    0.1565  
        2.53      0.3345      0.4031      0.0208      0.0173       0.000       0.003       0.003       0.034       0.000       0.012      36.277        0.03       7706.    0.1387  
        2.65      0.3498      0.3904      0.0183      0.0164       0.000       0.003       0.002       0.032       0.000       0.011      33.607        0.03       7714.    0.1204  
        2.76      0.3650      0.3713      0.0157      0.0154       0.000       0.003       0.002       0.030       0.000       0.009      30.631        0.03       7721.    0.1017  
        2.88      0.3802      0.3442      0.0131      0.0144       0.000       0.002       0.002       0.028       0.000       0.008      27.264        0.03       7729.    0.0826  
        3.00      0.3954      0.3071      0.0104      0.0134       0.000       0.002       0.001       0.026       0.000       0.006      23.386        0.03       7737.    0.0632  
        3.11      0.4106      0.2567      0.0077      0.0123       0.000       0.002       0.001       0.024       0.000       0.004      18.824        0.03       7746.    0.0438  
        3.23      0.4258      0.1883      0.0049      0.0112       0.000       0.002       0.001       0.022       0.000       0.003      13.319        0.03       7754.    0.0248  
        3.34      0.4410      0.0947      0.0021      0.0100       0.000       0.002       0.000       0.020       0.000       0.001       6.464        0.03       7763.    0.0079  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0564      0.0227       0.000       0.015       0.029       0.358       0.002       0.131      37.358        0.06      15207.    0.4703  
        0.24      0.0155      0.0380      0.0556      0.0228       0.000       0.015       0.029       0.358       0.002       0.129      36.772        0.06      15212.    0.4597  
        0.47      0.0311      0.0747      0.0548      0.0228       0.000       0.015       0.029       0.359       0.002       0.127      36.169        0.06      15218.    0.4487  
        0.71      0.0466      0.1101      0.0539      0.0228       0.000       0.015       0.028       0.359       0.002       0.125      35.548        0.06      15224.    0.4372  
        0.94      0.0622      0.1442      0.0529      0.0228       0.000       0.015       0.028       0.359       0.002       0.123      34.912        0.06      15230.    0.4254  
        1.18      0.0777      0.1769      0.0518      0.0228       0.000       0.015       0.027       0.358       0.002       0.120      34.260        0.06      15236.    0.4133  
        1.41      0.0933      0.2081      0.0507      0.0227       0.000       0.015       0.026       0.357       0.002       0.118      33.593        0.06      15244.    0.4007  
        1.65      0.1088      0.2379      0.0494      0.0226       0.000       0.015       0.026       0.356       0.002       0.115      32.911        0.06      15251.    0.3878  
        1.88      0.1244      0.2661      0.0481      0.0225       0.000       0.015       0.025       0.354       0.002       0.112      32.214        0.06      15259.    0.3744  
        2.12      0.1399      0.2928      0.0467      0.0223       0.000       0.015       0.024       0.351       0.002       0.108      31.500        0.06      15267.    0.3608  
