J         CT        CP        eta
0.306578  0.104769  0.053846  0.596521
0.325336  0.103294  0.054241  0.619555
0.343632  0.101679  0.054526  0.640797
0.362922  0.099499  0.054597  0.661405
0.382534  0.097942  0.055017  0.680995
0.401000  0.095818  0.055060  0.697841
0.420896  0.093432  0.055211  0.712277
0.440621  0.091220  0.055292  0.726937
0.459362  0.089015  0.055314  0.739240
0.477874  0.086317  0.055048  0.749323
0.495797  0.082958  0.054401  0.756056
0.514612  0.080577  0.054177  0.765381
0.531824  0.077291  0.053322  0.770892
0.549790  0.074106  0.052440  0.776946
0.567648  0.071189  0.051641  0.782533
0.586349  0.068342  0.050822  0.788483
0.602390  0.065310  0.049588  0.793392
0.619430  0.062601  0.048603  0.797845
0.636028  0.059729  0.047435  0.800869
0.656209  0.056439  0.046097  0.803437
0.674639  0.053286  0.044757  0.803201
0.690485  0.050395  0.043385  0.802058
0.707770  0.046911  0.041617  0.797804
0.727389  0.043686  0.039983  0.794763
