RPM average =  3030
J         CT        CP        eta
0.137985  0.086643  0.033634  0.355454
0.177115  0.079613  0.033291  0.423565
0.212199  0.071480  0.032031  0.473545
0.247805  0.063626  0.030356  0.519400
0.285501  0.056184  0.028326  0.566274
0.321941  0.049700  0.026369  0.606772
0.359050  0.043844  0.024583  0.640364
0.396419  0.037496  0.022483  0.661124
0.433686  0.031560  0.020342  0.672836
0.476330  0.024113  0.017515  0.655761
0.506541  0.019169  0.015809  0.614200
0.549184  0.011409  0.012812  0.489005
0.581489  0.006079  0.010757  0.328596
0.618689 -0.001380  0.007537 -0.113287
0.618713 -0.001366  0.007542 -0.112052
0.618713 -0.001366  0.007542 -0.112052
0.618713 -0.001366  0.007542 -0.112052
