J         CT        CP        eta
0.569577  0.040200  0.029141  0.785734
0.603027  0.033099  0.025678  0.777321
0.637911  0.027449  0.023223  0.754019
0.674754  0.020327  0.019800  0.692721
0.709334  0.014089  0.016611  0.601640
0.743477  0.007472  0.013156  0.422227
0.776111  0.000793  0.009562  0.064315
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
0.777519  0.000861  0.009660  0.069263
